rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,key_press,success_time,board_size,board_set,board_no,success
8800,"{"Q0":"srta88"}",survey-text,0,8803,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
8967,NULL,instructions,1,17770,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
242881,NULL,instructions,2,260651,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
7079,NULL,html-keyboard-response,3,267730,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
8152,NULL,instructions,4,275883,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,438980,0.0-4.0,NULL,163094,boards2x3,d,0,1
13887,NULL,instructions,6,452867,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,503699,0.0-6.0,NULL,50831,boards2x2,c,0,1
NULL,NULL,sudoku_trial,8,535868,0.0-7.0,NULL,32167,boards2x2,a,1,1
NULL,NULL,sudoku_trial,9,662468,0.0-8.0,NULL,NULL,boards2x4,b,1,
NULL,NULL,sudoku_trial,10,697314,0.0-9.0,NULL,34846,boards2x2,b,1,1
